Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Account,Chrome 65.0.3325.181,,2018-03-29 15:51:43,2018-03-29 15:54:04,2m - 20.234s,FAILED
,,,,,,
Test Cases/Account/Account_Change_data,Chrome 65.0.3325.181,,2018-03-29 15:51:44,2018-03-29 15:52:25,41.299s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-29 15:51:44,2018-03-29 15:51:47,3.264s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-29 15:51:47,2018-03-29 15:51:50,2.675s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-29 15:51:50,2018-03-29 15:51:51,1.178s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:51:51,2018-03-29 15:51:51,0.098s,PASSED
Statement - mydate = new java.util.Date(),Chrome 65.0.3325.181,,2018-03-29 15:51:51,2018-03-29 15:51:51,0.005s,PASSED
"Statement - dateHour = mydate.format(""HHmmss"")",Chrome 65.0.3325.181,,2018-03-29 15:51:51,2018-03-29 15:51:51,0.004s,PASSED
"Statement - x = ""time"" + dateHour",Chrome 65.0.3325.181,,2018-03-29 15:51:51,2018-03-29 15:51:51,0.001s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:51,2018-03-29 15:51:52,0.709s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:52,2018-03-29 15:51:52,0.237s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:51:52,2018-03-29 15:51:53,0.353s,PASSED
waitForElementPresent,Chrome 65.0.3325.181,,2018-03-29 15:51:53,2018-03-29 15:51:57,4.551s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-03-29 15:51:57,2018-03-29 15:51:57,0.064s,PASSED
click,Chrome 65.0.3325.181,,2018-03-29 15:51:57,2018-03-29 15:51:58,0.585s,PASSED
clearText,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.116s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.058s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.132s,PASSED
clearText,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.040s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.058s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.141s,PASSED
clearText,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.053s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:58,0.032s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:58,2018-03-29 15:51:59,0.153s,PASSED
clearText,Chrome 65.0.3325.181,,2018-03-29 15:51:59,2018-03-29 15:51:59,0.048s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-29 15:51:59,2018-03-29 15:51:59,0.015s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:59,2018-03-29 15:51:59,0.142s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-29 15:51:59,2018-03-29 15:51:59,0.134s,PASSED
