Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add_report,Chrome 65.0.3325.181,,2018-04-03 11:00:52,2018-04-03 11:10:43,9m - 51.724s,PASSED
,,,,,,
Test Cases/Create_report/Step_1,Chrome 65.0.3325.181,,2018-04-03 11:00:52,2018-04-03 11:02:31,1m - 39.446s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-03 11:00:52,2018-04-03 11:00:56,3.204s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-03 11:00:56,2018-04-03 11:01:00,4.488s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-03 11:01:00,2018-04-03 11:01:01,1.185s,PASSED
"Statement - mail = ""rostyslav.biliaiev@route-report.com""",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.000s,PASSED
"Statement - pass = ""111111""",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.000s,PASSED
Statement - bigtext = org.apache.commons.lang.RandomStringUtils.randomNumeric(2000),Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.007s,PASSED
Statement - mydate = new java.util.Date(),Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.005s,PASSED
"Statement - formattedDate = mydate.format(""MMdd"")",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.003s,PASSED
"Statement - dateHour = mydate.format(""HHmmss"")",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.000s,PASSED
"Statement - x = ""_date_"" + formattedDate + ""_time_"" + dateHour",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.001s,PASSED
"Statement - title = ""Automated test was executed"" + x",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.001s,PASSED
"Statement - authors_text = ""Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors Text from authors """,Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.001s,PASSED
"Statement - youtube = ""https://youtu.be/2VjmdTtcEQE""",Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.001s,PASSED
click,Chrome 65.0.3325.181,,2018-04-03 11:01:01,2018-04-03 11:01:01,0.189s,PASSED
