Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Clicks_without_logging,Chrome 65.0.3325.181,,2018-04-02 09:26:42,2018-04-02 09:32:02,5m - 19.473s,PASSED
,,,,,,
Test Cases/Clicks_with_out_login/Clicks (About Us) - without logging,Chrome 65.0.3325.181,,2018-04-02 09:26:43,2018-04-02 09:27:17,33.924s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-02 09:26:43,2018-04-02 09:26:47,3.483s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-02 09:26:47,2018-04-02 09:26:49,2.644s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-04-02 09:26:49,2018-04-02 09:26:50,1.178s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:50,2018-04-02 09:26:51,0.242s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:26:51,2018-04-02 09:26:52,1.025s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-02 09:26:52,2018-04-02 09:26:52,0.092s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:52,2018-04-02 09:26:52,0.137s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:52,2018-04-02 09:26:52,0.232s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:26:52,2018-04-02 09:26:53,1.001s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-02 09:26:53,2018-04-02 09:26:53,0.019s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:53,2018-04-02 09:26:53,0.102s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:53,2018-04-02 09:26:53,0.198s,PASSED
delay,Chrome 65.0.3325.181,,2018-04-02 09:26:53,2018-04-02 09:26:54,1.004s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-04-02 09:26:54,2018-04-02 09:26:54,0.025s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:54,2018-04-02 09:26:54,0.074s,PASSED
click,Chrome 65.0.3325.181,,2018-04-02 09:26:54,2018-04-02 09:26:55,0.137s,PASSED
switchToWindowTitle,Chrome 65.0.3325.181,,2018-04-02 09:26:55,2018-04-02 09:26:56,1.277s,PASSED
Statement - titleWindowManual_1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 65.0.3325.181,,2018-04-02 09:26:56,2018-04-02 09:26:56,0.094s,PASSED
verifyMatch,Chrome 65.0.3325.181,,2018-04-02 09:26:56,2018-04-02 09:26:56,0.012s,PASSED
closeWindowTitle,Chrome 65.0.3325.181,,2018-04-02 09:26:56,2018-04-02 09:26:56,0.287s,PASSED
switchToWindowTitle,Chrome 65.0.3325.181,,2018-04-02 09:26:56,2018-04-02 09:26:56,0.063s,PASSED
