Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Registration,Chrome 65.0.3325.181,,2018-03-23 17:55:24,2018-03-23 17:58:32,3m - 7.611s,FAILED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Login with a valid email and password,Chrome 65.0.3325.181,,2018-03-23 17:55:24,2018-03-23 17:55:50,25.544s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 17:55:25,2018-03-23 17:55:28,3.494s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-23 17:55:28,2018-03-23 17:55:42,13.617s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-23 17:55:42,2018-03-23 17:55:43,1.192s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 17:55:43,2018-03-23 17:55:43,0.150s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 17:55:43,2018-03-23 17:55:44,0.888s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 17:55:44,2018-03-23 17:55:44,0.370s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 17:55:44,2018-03-23 17:55:45,0.241s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-23 17:55:45,2018-03-23 17:55:49,4.429s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-23 17:55:49,2018-03-23 17:55:50,0.827s,PASSED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Log in with incorrect invalid email or password,Chrome 65.0.3325.181,,2018-03-23 17:55:50,2018-03-23 17:56:10,20.328s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 17:55:50,2018-03-23 17:55:52,2.335s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-23 17:55:53,2018-03-23 17:56:06,13.464s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-23 17:56:06,2018-03-23 17:56:07,1.172s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 17:56:07,2018-03-23 17:56:07,0.124s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 17:56:07,2018-03-23 17:56:08,0.953s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 17:56:08,2018-03-23 17:56:09,0.522s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 17:56:09,2018-03-23 17:56:09,0.144s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-23 17:56:09,2018-03-23 17:56:09,0.564s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-23 17:56:09,2018-03-23 17:56:10,0.841s,PASSED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Entering non-valid mail in the mail input field,Chrome 65.0.3325.181,,2018-03-23 17:56:10,2018-03-23 17:56:28,17.424s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 17:56:10,2018-03-23 17:56:13,2.222s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-23 17:56:13,2018-03-23 17:56:23,10.569s,PASSED
maximizeWindow,Chrome 65.0.3325.181,,2018-03-23 17:56:23,2018-03-23 17:56:24,1.172s,PASSED
click,Chrome 65.0.3325.181,,2018-03-23 17:56:24,2018-03-23 17:56:25,0.172s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-23 17:56:25,2018-03-23 17:56:25,0.723s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-23 17:56:25,2018-03-23 17:56:27,1.632s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-23 17:56:27,2018-03-23 17:56:28,0.780s,PASSED
,,,,,,
Test Cases/Login_Registration_Test_Cases/Login_Reg-Login with input only mail (no password),Chrome 65.0.3325.181,,2018-03-23 17:56:28,2018-03-23 17:56:47,19.060s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-23 17:56:28,2018-03-23 17:56:30,2.269s,PASSED
